departamento,municipio,zona_urbana_rural,tipo_de_vivienda,tenencia_de_la_vivienda,area_total_m2,habitaciones,banos,pisos,antiguedad_de_la_vivienda,calidad_de_construccion,parqueaderos,estrato,tamano_del_hogar,numero_de_ninos,numero_de_adultos_mayores,genero_del_jefe_del_hogar,edad_del_jefe_del_hogar,nivel_educativo_del_jefe_del_hogar,situacion_laboral_del_jefe_del_hogar,distancia_al_centro_de_la_ciudad_km,indice_de_seguridad_del_barrio,acceso_a_transporte_publico,acceso_a_internet,acceso_a_agua_potable,acceso_a_gas,indice_de_pobreza,acceso_a_credito,ahorros_del_hogar,ingreso_del_hogar,valor_de_mercado_de_la_vivienda
Caldas,Cali,Urban,House,Rented,47.15780676610282,4,2,1,64,Medium,0,2,5,3,2,Male,21,University,Informal,6.794342748431921,61.648012366053706,Yes,Yes,Yes,Yes,0.35227632184732105,No,2356715.4876738014,4371392.285739373,38.90904135776931
Santander,Bucaramanga,Urban,House,Family,72.46390808595905,5,1,1,15,Medium,2,2,6,0,1,Female,38,Primary,Informal,19.38680198645105,33.29917995070148,Yes,Yes,Yes,Yes,0.30121082101227104,Yes,4766062.801091992,2024401.5605336719,58.095528882146745
Atlántico,Cali,Urban,Apartment,Owned,175.03701645650278,1,2,3,21,Medium,2,4,4,3,2,Female,35,Secondary,Informal,13.332801636491807,58.52513850431606,Yes,Yes,Yes,Yes,0.03701093586225372,Yes,2670710.763370236,3566130.318429212,212.07074226817144
Caldas,Pereira,Urban,Apartment,Owned,62.685370074099346,1,1,3,19,Low,0,6,7,0,1,Female,57,University,Informal,1.8374860996686655,98.29614202691539,Yes,Yes,Yes,Yes,0.2908528769359592,No,1262981.8212141665,12334188.329563515,119.70874501699309
Caldas,Manizales,Urban,Farm,Owned,91.12749083685885,1,2,2,48,Medium,1,1,6,4,1,Male,69,University,Informal,9.617058883847765,47.98620318976804,Yes,No,Yes,Yes,0.3438291673547599,No,1736936.5257340302,1129488.29625628,65.57735056812827
Valle del Cauca,Cali,Urban,Apartment,Family,77.04018303052737,4,1,1,45,Medium,0,3,2,0,2,Male,66,Secondary,Informal,12.79116740129584,67.86480949944865,No,Yes,Yes,Yes,0.3694562902156893,Yes,4087531.562058116,4291404.115511637,81.0289437928248
Bolívar,Bogotá,Urban,Farm,Rented,67.71762380791706,3,1,3,48,High,1,1,3,0,2,Female,54,Primary,Formal,3.6778121739896914,76.08628852372954,Yes,Yes,Yes,Yes,0.3167791111635929,No,1251281.6449468164,1036470.5907567937,42.4564599365863
Santander,Bucaramanga,Urban,Farm,Rented,58.92349958938088,1,2,2,65,Low,0,1,5,4,1,Female,54,University,Formal,28.579624779620808,85.58608011117599,Yes,Yes,Yes,Yes,0.19000664875169393,Yes,3312342.998140069,2635772.086652793,35.20321652353584
Cundinamarca,Pereira,Rural,House,Owned,164.27154918534936,2,1,3,61,Medium,2,2,5,0,1,Female,24,Postgraduate,Formal,5.116143250976024,41.62233138200362,Yes,Yes,No,Yes,0.27813016615515507,No,3194461.180363437,8137173.252230138,103.79052474079715
Caldas,Bucaramanga,Urban,Farm,Rented,262.8270795696599,3,2,3,62,Low,2,1,4,0,0,Male,64,Secondary,Formal,9.881182799744856,61.1493584041085,Yes,Yes,Yes,Yes,0.227981532694405,Yes,735419.6154567315,1548116.9953375286,189.23103379079532
Atlántico,Bucaramanga,Urban,House,Family,102.71972249283375,2,1,1,31,Medium,0,5,5,4,0,Male,25,University,Formal,27.160833259122835,79.89185629028327,Yes,Yes,Yes,Yes,0.6654008636441445,Yes,3562968.2262985664,19291172.375467964,189.38330982665593
Bolívar,Medellín,Urban,Farm,Rented,187.10972479930177,4,3,3,12,Medium,0,2,1,2,1,Female,58,Secondary,Formal,23.664333132654164,98.99016808106278,Yes,Yes,Yes,Yes,0.38272260864620805,Yes,1704434.888309793,4248772.972682676,128.99274822114364
Bolívar,Pereira,Rural,Farm,Owned,37.27133552079091,1,3,3,41,Low,1,2,4,1,0,Female,33,Secondary,Formal,5.901756240563191,53.77323069914656,Yes,Yes,Yes,Yes,0.08939992453427542,Yes,784844.0947497308,3581787.4847346917,28.255311335147812
Cundinamarca,Cali,Rural,Farm,Owned,165.0405257065541,5,2,1,9,Low,2,2,4,0,0,Female,47,University,Formal,1.4068301776057848,93.53051191190485,Yes,Yes,Yes,Yes,0.5227969848520326,Yes,1674568.459032826,6331154.407216945,135.91711697526264
Caldas,Bucaramanga,Urban,Apartment,Rented,70.81295900044172,1,3,2,46,Medium,2,2,4,0,0,Male,28,Secondary,Informal,14.502806760737085,33.83271209951181,Yes,Yes,Yes,Yes,0.26933090746511973,No,8108035.995558582,3358412.55859655,91.54409142593022
Atlántico,Cartagena,Urban,Apartment,Owned,59.96027515762974,4,3,1,68,High,0,1,2,1,0,Female,49,Postgraduate,Formal,27.729720976922376,30.460999330454797,Yes,Yes,Yes,Yes,0.37220539996809504,Yes,3940114.564864956,3843054.358660737,44.0912239659001
Santander,Medellín,Urban,House,Family,134.2613119856099,1,1,1,59,Medium,1,3,1,4,1,Male,70,Postgraduate,Formal,1.5462668298002065,84.01962052113802,Yes,Yes,Yes,Yes,0.12645223780692746,Yes,4016404.6774603496,11323989.439510992,117.37700821827602
Antioquia,Bogotá,Rural,Farm,Family,125.68354847720936,1,3,2,60,Medium,2,2,5,0,1,Female,57,Secondary,Unemployed,21.824240645236294,85.99518202919299,Yes,Yes,Yes,Yes,0.5343625134395433,No,267074.6585679287,886851.7943219228,155.7353552051732
Atlántico,Bucaramanga,Rural,House,Family,115.30974050728105,1,2,3,57,High,0,2,3,0,1,Male,42,Primary,Unemployed,12.884452412408411,69.21154386385666,Yes,Yes,Yes,Yes,0.3419868790950662,No,1460222.3005839959,826467.4368681805,94.39963587482559
Cundinamarca,Manizales,Rural,House,Family,56.334116943793234,4,2,1,24,Medium,0,2,1,1,2,Male,23,University,Informal,21.316818884047457,32.06402971820617,Yes,Yes,Yes,Yes,0.627992407714324,No,2296111.102130695,4715643.09844373,61.79101896030789
Bolívar,Bucaramanga,Urban,Farm,Owned,183.66453650741335,1,1,1,61,Medium,1,2,6,1,2,Female,54,Primary,Formal,15.736938292278777,80.99137847112391,Yes,No,Yes,Yes,0.23713541823697654,Yes,1841305.0005638336,3361559.193709948,129.17509044806678
Santander,Medellín,Urban,Apartment,Owned,67.1916902488996,5,3,1,60,Medium,0,5,4,0,1,Male,61,Secondary,Formal,10.727052328617848,82.71926996483,Yes,Yes,Yes,No,0.1863149475086924,Yes,846054.5605682068,8923335.54566683,89.1789289162584
Atlántico,Cali,Rural,Apartment,Rented,109.79889477988083,5,1,2,44,Low,2,2,3,4,0,Male,44,University,Formal,7.753180678012893,53.488549130865735,Yes,Yes,Yes,Yes,0.0679309874899762,Yes,2518843.3419346083,5353982.279422524,100.72512461885539
Antioquia,Cartagena,Urban,House,Owned,65.90672612316932,3,3,1,26,High,2,3,4,1,0,Male,54,University,Formal,19.2691105768088,79.42313430333692,Yes,Yes,Yes,Yes,0.3365070692405041,No,3213455.060621629,8822572.756538525,117.44317180073114
Antioquia,Manizales,Urban,Apartment,Rented,110.38006736087347,3,3,1,51,Medium,2,4,2,1,1,Male,53,Primary,Informal,7.687028890592341,70.0838128391704,Yes,Yes,Yes,Yes,0.20579306347744147,Yes,1962289.9108007897,3770999.2168377326,164.90033515220517
Valle del Cauca,Bogotá,Urban,Farm,Owned,50.133784545608016,3,3,2,58,Low,1,2,7,1,0,Female,22,University,Informal,7.107104580914778,59.997544535484344,No,Yes,Yes,Yes,0.3450209700084925,Yes,230075.00655607434,4060406.4198108492,87.4306200591615
Valle del Cauca,Manizales,Rural,Farm,Rented,101.12350820189207,3,1,3,42,High,1,4,4,0,2,Male,58,Secondary,Formal,8.505530483936386,55.91863119228746,Yes,Yes,Yes,Yes,0.1979776546055774,Yes,1787361.4432684642,8075602.437080591,153.4840975623005
Risaralda,Bucaramanga,Urban,Apartment,Rented,69.93974031923418,5,1,1,27,High,0,1,1,3,1,Female,42,Secondary,Informal,5.014342017092071,50.49305949819711,Yes,No,Yes,Yes,0.372716616760055,Yes,2922131.5691297324,713902.9525056521,110.98352005096407
Cundinamarca,Cali,Urban,Apartment,Family,16.89724124119661,3,3,3,20,High,2,4,2,1,1,Male,28,Postgraduate,Formal,11.663909783290404,44.611427166487346,Yes,Yes,Yes,Yes,0.2484246642835582,Yes,1791332.7976902232,16061903.25630348,100.47416763358406
Caldas,Pereira,Urban,House,Rented,103.24483218187169,2,2,2,33,Medium,1,1,4,1,1,Male,43,Secondary,Unemployed,14.020402027453272,73.07550488239582,No,Yes,Yes,Yes,0.3390905944019853,No,534408.0179693071,634936.4333579792,116.51680787181559
Atlántico,Cartagena,Urban,Apartment,Rented,73.04341617951285,4,3,3,46,Medium,1,3,6,0,0,Female,73,Primary,Informal,5.295649615910618,65.86083737920096,No,Yes,Yes,Yes,0.16735557534410697,No,1044896.2076573243,2150932.7974650646,106.06041234733095
Atlántico,Pereira,Urban,House,Rented,96.0943041858832,4,2,2,26,High,2,2,1,0,1,Female,40,Secondary,Informal,0.9396375056088531,54.40636647110934,Yes,Yes,No,Yes,0.053713506837996645,No,1106799.801847796,1396706.7055183707,117.79853138270379
Caldas,Cartagena,Urban,Farm,Rented,161.33639483841932,5,3,2,14,High,1,1,7,4,0,Male,44,University,Formal,24.839291470474386,45.42680107376899,Yes,Yes,No,Yes,0.6626185768880307,No,1732050.9282759281,4575822.264353067,126.74048104623698
Risaralda,Bogotá,Urban,Farm,Rented,139.03638360533353,4,3,3,4,Low,0,3,5,2,1,Male,41,University,Formal,13.421874380875016,69.12385120928423,Yes,Yes,Yes,No,0.13599285590117197,No,1270155.5544535837,6817835.26853838,133.9056912573345
Bolívar,Barranquilla,Urban,Farm,Family,273.834399943333,4,2,3,63,High,0,3,4,4,2,Male,26,Secondary,Informal,8.235436914191524,87.11267449930504,Yes,Yes,Yes,Yes,0.34783463964390604,Yes,1317536.442403267,3822474.6490768557,210.80664795152222
Bolívar,Cartagena,Rural,Apartment,Rented,228.6906383434761,1,2,1,16,Low,1,1,2,2,1,Male,47,Secondary,Formal,21.378332219160704,63.24598055993918,No,Yes,Yes,Yes,0.27294929285537106,No,421615.04446118977,2080239.6442669719,179.15192153286063
Risaralda,Barranquilla,Rural,Apartment,Rented,97.8967157267844,3,1,2,7,Medium,0,5,5,3,0,Female,26,Secondary,Unemployed,22.14391639353373,79.32675344099759,Yes,Yes,Yes,No,0.13315571248310476,No,2258796.8251518914,2557676.862767608,150.87744745236498
Bolívar,Pereira,Urban,Apartment,Rented,78.27125769894775,3,2,3,56,High,0,1,7,0,1,Female,71,University,Formal,4.162557616344348,83.42819742929764,Yes,Yes,Yes,Yes,0.3349731999633451,No,342989.46193551406,3486842.3518385678,38.0216887157423
Valle del Cauca,Cartagena,Rural,House,Owned,81.36581839014768,1,3,1,56,Medium,1,2,4,3,2,Male,54,Secondary,Formal,12.037311293635813,94.77350468642453,Yes,No,Yes,No,0.4732017090682163,Yes,573189.5895110748,4503063.560828962,99.26980483690673
Atlántico,Bogotá,Urban,House,Owned,67.03879109145505,5,1,2,47,Medium,1,4,5,4,2,Female,37,Primary,Formal,11.945371588460636,83.13421455009656,Yes,Yes,Yes,Yes,0.5082198012424799,Yes,2211092.566214503,7190368.559320049,120.50511073435888
Risaralda,Medellín,Urban,House,Family,166.76197383115635,2,3,1,17,Low,2,1,3,0,0,Male,77,University,Formal,4.055244774451732,99.70356792044218,Yes,Yes,No,Yes,0.28250540673481944,Yes,1859749.7688665066,2958015.3018282475,119.30946521973591
Atlántico,Bogotá,Urban,Farm,Rented,8.897643053732251,5,1,1,41,Low,0,5,3,3,2,Female,44,Secondary,Informal,2.0960610274560674,89.83898996188803,Yes,Yes,Yes,Yes,0.12712773812484288,No,2882135.829895405,5532791.485360694,113.68804042168819
Caldas,Bogotá,Urban,House,Rented,120.8113476072205,2,3,2,68,Medium,0,3,7,3,1,Male,49,Primary,Informal,9.802742745860014,58.64539517120989,No,Yes,Yes,Yes,0.05371285609048304,Yes,2593341.239647998,2769973.9285602365,100.05456406891449
Antioquia,Medellín,Urban,Apartment,Owned,85.12600241144338,2,2,1,53,Low,1,4,2,3,1,Female,28,University,Formal,17.653724430998718,42.85312124837692,Yes,No,Yes,Yes,0.4749198315276044,Yes,859319.2106186853,12725341.320983095,81.34533941910883
Valle del Cauca,Medellín,Urban,Apartment,Rented,88.1363989535091,1,3,3,15,Medium,2,1,4,3,1,Female,69,Secondary,Unemployed,8.078694772334567,48.714972377126145,Yes,No,Yes,Yes,0.2558034914028745,Yes,2775612.042409869,-179615.0189180508,50.69373334366815
Santander,Cali,Urban,Farm,Family,76.47436082782116,5,3,1,16,Low,0,4,7,0,1,Female,25,University,Formal,3.152273019770343,35.279166851207805,Yes,Yes,Yes,Yes,0.3328533585207886,Yes,4343340.044503401,11771142.313268386,125.76997486405782
Valle del Cauca,Cartagena,Urban,Apartment,Rented,152.5112734053769,3,1,1,43,Low,0,3,1,1,2,Male,39,Postgraduate,Formal,15.610965021337485,66.73243520903034,Yes,No,Yes,Yes,0.1576786270058759,No,1637019.2256111514,11672781.957886755,109.96690451256514
Risaralda,Pereira,Urban,Apartment,Family,85.0269723667427,5,2,2,32,Medium,1,4,5,1,1,Male,37,Postgraduate,Informal,12.456726912104841,96.41590761782876,No,Yes,No,Yes,0.2936578111970367,No,2814775.824316548,11781148.517711041,134.14150811456736
Santander,Cali,Urban,Apartment,Owned,115.48749227412156,5,2,3,10,Low,2,1,1,2,2,Male,77,Postgraduate,Formal,3.5620765469176643,76.82711333358762,Yes,No,Yes,Yes,0.4930116199538398,Yes,3778970.2493809257,4777219.5643344335,106.763619349991
Antioquia,Medellín,Urban,House,Family,87.51715431911015,2,3,3,39,Medium,0,3,2,4,0,Male,70,University,Formal,4.42533768734239,82.74643947295328,Yes,Yes,Yes,Yes,0.10754271968195064,Yes,3268751.788273081,7592802.262865434,85.8465811747302
Risaralda,Barranquilla,Urban,House,Family,98.26404227121718,2,3,3,36,Medium,0,3,7,4,0,Female,48,Secondary,Informal,8.123728788201465,31.243659988753976,No,Yes,Yes,Yes,0.24584122256549487,Yes,3437996.3263067515,3779640.3157135174,93.08024191605307
Cundinamarca,Pereira,Urban,Apartment,Family,52.833991833658835,3,1,3,27,Medium,0,2,5,1,2,Male,20,Secondary,Formal,12.910993478597241,57.27463156241707,No,Yes,Yes,Yes,0.10354128810123313,Yes,671133.5549683815,3500662.4671125156,58.665404880003834
Atlántico,Barranquilla,Urban,Apartment,Family,59.57638535328956,3,1,1,29,High,0,4,6,0,2,Female,57,Primary,Formal,7.18268514619997,72.37934200007257,Yes,Yes,Yes,Yes,0.6558151664758051,Yes,1573392.922415869,7967295.191860616,139.74062215033936
Antioquia,Bogotá,Urban,Apartment,Family,49.07601629137604,2,2,3,45,Medium,2,5,4,4,1,Male,62,University,Informal,13.327771509134475,99.53592092103806,Yes,No,Yes,Yes,0.22452327235852979,Yes,535204.2216534117,9315297.275540777,65.03644637341645
Atlántico,Bucaramanga,Urban,Apartment,Family,133.13829721011064,5,2,3,42,High,1,1,4,2,2,Female,60,University,Informal,9.99670937635748,84.2896341482767,Yes,Yes,Yes,Yes,0.41329289181426654,Yes,1948277.1224595257,2280971.76093274,99.94020418474739
Bolívar,Bogotá,Rural,House,Family,229.0721244330912,2,1,2,7,High,0,1,6,2,1,Female,45,Secondary,Informal,4.312114144814611,62.121497636391254,Yes,Yes,Yes,Yes,0.2925828778383506,Yes,2335722.4592767684,1642954.2953741734,174.60237448814453
Cundinamarca,Bogotá,Rural,Farm,Family,78.53623260260038,4,1,3,42,High,2,4,1,4,0,Male,28,Secondary,Unemployed,8.678523787748588,75.5233257718434,Yes,Yes,Yes,Yes,0.571647834229808,Yes,6266347.519338844,2105859.322935042,73.38597246900099
Cundinamarca,Bucaramanga,Rural,Apartment,Family,26.383746493874465,4,3,2,32,Low,0,2,1,0,1,Female,23,University,Formal,4.06698708972223,62.975567116281404,No,Yes,Yes,Yes,0.10442377964884254,Yes,471388.6012596811,5140983.389476886,49.05615088532312
Antioquia,Cartagena,Urban,House,Owned,101.29967051464978,2,3,3,54,Low,1,1,6,0,2,Female,54,Secondary,Formal,7.352571287619199,75.3138451601183,Yes,Yes,Yes,Yes,0.2188094552392262,No,3932084.606293958,1835873.7702575692,110.07819301166617
Cundinamarca,Medellín,Urban,Apartment,Family,281.9796268441496,3,1,1,57,Medium,1,1,2,0,0,Male,52,Secondary,Formal,19.655878148301507,95.45495833180918,No,Yes,Yes,Yes,0.663614180972711,Yes,1269578.9290415023,2010834.3084550183,197.2851483824404
Santander,Barranquilla,Rural,Farm,Family,109.10883033536335,2,1,3,20,Medium,1,1,6,1,0,Female,36,Secondary,Informal,7.9634576152236285,92.29234524189464,Yes,Yes,Yes,Yes,0.384362595219058,No,1254531.4313969992,1633905.4524436365,63.638708690499556
Cundinamarca,Bogotá,Urban,House,Rented,55.04097875246014,5,1,2,46,Medium,0,1,2,4,2,Male,21,Secondary,Formal,8.960686214932577,90.91471494963119,No,Yes,No,Yes,0.21915757695095586,Yes,3072298.394760113,1830650.4069989042,48.145542959421014
Atlántico,Bucaramanga,Urban,House,Rented,56.412839124552555,4,3,3,50,High,1,2,6,0,1,Male,71,Primary,Informal,8.858922565693197,59.380035998309026,No,Yes,Yes,No,0.8147977933605544,No,2607218.6499390965,3071732.529955493,63.68425385331129
Atlántico,Cali,Urban,Farm,Rented,121.54260605085811,1,2,1,28,Low,2,2,5,3,0,Female,63,Postgraduate,Unemployed,1.9580884029791172,57.93963916849053,No,Yes,Yes,Yes,0.1560170832970414,Yes,2685912.3619630686,2128921.9434650606,104.08106645739903
Risaralda,Bogotá,Urban,Farm,Family,137.6226977011692,3,1,2,15,Medium,2,1,3,3,0,Female,29,University,Formal,17.68470776588766,53.54960872021115,Yes,Yes,Yes,Yes,0.1709569944131649,Yes,4674169.407612184,3023895.5045605153,85.29517424141709
Atlántico,Barranquilla,Rural,House,Owned,155.2565271243106,1,3,1,67,Medium,0,1,4,2,2,Female,74,Secondary,Formal,7.055507973937529,86.38422255240593,Yes,Yes,Yes,Yes,0.06422187243338665,No,1701806.9317252825,1346658.8390950146,118.36937893175887
Risaralda,Medellín,Urban,Farm,Owned,45.822079264234766,3,2,3,68,High,1,4,5,3,2,Male,59,University,Formal,10.594462326788994,31.75932914866793,Yes,Yes,Yes,Yes,0.46399993348581686,Yes,463655.4249336186,13134921.157528177,131.43218140191377
Atlántico,Bogotá,Urban,Apartment,Rented,94.59500704051048,1,1,3,18,Medium,0,4,6,2,1,Female,66,Primary,Formal,11.39411114312406,73.63932696422245,Yes,Yes,Yes,Yes,0.28233976492771756,Yes,787912.882408535,7288301.721569959,172.22526262347785
Santander,Bogotá,Urban,Farm,Rented,33.799660223464755,1,2,2,38,Medium,0,1,3,1,1,Female,42,Primary,Formal,12.351744414860201,54.01046400170989,Yes,Yes,Yes,Yes,0.34444312267495364,Yes,3628572.077610774,1339108.7662618486,11.399916130207412
Caldas,Cartagena,Urban,Farm,Family,35.650234806316995,2,3,1,69,High,0,1,6,1,1,Male,24,University,Informal,29.84464074738173,85.94326933877153,Yes,Yes,Yes,Yes,0.19020670795589686,Yes,1090552.37101061,1827830.877465306,99.50632176128735
Risaralda,Manizales,Urban,House,Owned,94.23197911476761,3,3,1,29,High,0,6,4,3,0,Female,37,Secondary,Formal,2.890928881178136,73.56976812370982,Yes,Yes,Yes,Yes,0.5566498357335367,No,425810.7909497716,14136245.331838889,126.14495529983321
Valle del Cauca,Bucaramanga,Urban,Farm,Owned,156.62526636900353,4,1,2,27,Medium,2,3,1,4,0,Male,22,University,Formal,3.04909205051535,80.10924936124363,Yes,Yes,Yes,No,0.2143052131191626,Yes,4391687.830861079,9033296.476672344,155.58278059435463
Bolívar,Cali,Urban,House,Rented,74.84631596905912,1,2,3,62,Low,0,3,5,0,2,Male,41,University,Informal,13.597103084390454,98.06810816504758,Yes,No,Yes,Yes,0.47405103907729695,Yes,5109585.57920174,6947354.854952523,64.65010927116953
Antioquia,Cali,Urban,Apartment,Owned,72.73183911803447,2,2,3,12,Medium,0,2,2,0,2,Female,39,Postgraduate,Formal,11.518404671231874,41.45619563735153,No,Yes,Yes,No,0.29554595262349637,No,3601822.2855808176,8180791.227431911,104.96271033994354
Atlántico,Pereira,Urban,Farm,Rented,48.24739232441906,5,2,1,66,Medium,0,3,2,4,2,Male,20,Secondary,Formal,23.66827526509208,66.97467284477932,Yes,Yes,Yes,Yes,0.09608969610819751,Yes,1041739.0080671507,4924924.197101658,56.97694216539567
Cundinamarca,Medellín,Urban,Farm,Rented,115.75467661639459,3,2,2,63,High,1,3,5,2,1,Female,52,Primary,Formal,8.537579672710887,31.329727772519725,Yes,Yes,Yes,Yes,0.3978527060687319,Yes,1126177.5716372945,4860136.352042043,145.34347858477483
Caldas,Pereira,Urban,House,Family,53.08590633270094,3,3,1,57,Medium,2,2,4,2,0,Male,52,Secondary,Formal,5.862913304454574,58.0345522148454,Yes,No,Yes,Yes,0.5666859558524209,No,1687141.9514711564,4229776.728123587,32.317137886356235
Atlántico,Barranquilla,Urban,House,Rented,142.61929923853674,4,2,3,67,High,0,3,1,2,0,Female,35,Primary,Unemployed,17.716612727881273,86.97224430489871,Yes,Yes,Yes,Yes,0.01651402505371947,No,1329518.871156957,1516806.3961187887,143.951056799185
Cundinamarca,Medellín,Urban,Farm,Family,53.60341460673145,1,1,3,9,Low,0,3,5,0,2,Female,22,Secondary,Formal,4.916506073698486,94.98882807414502,Yes,No,No,Yes,0.5399619354250613,Yes,2694738.889272255,7748627.145206099,144.61619188393394
Bolívar,Bogotá,Rural,House,Owned,83.17144921715963,2,3,1,50,Medium,2,5,3,3,1,Male,30,University,Informal,3.472277423641285,70.06294104591584,Yes,Yes,Yes,Yes,0.2449862812806217,No,1728448.7208898244,10081768.388426458,113.29010490514472
Bolívar,Manizales,Rural,Farm,Owned,126.10011426994403,1,1,3,69,Low,1,1,7,4,0,Female,30,Secondary,Formal,27.898114839850933,38.100126283694564,Yes,Yes,Yes,Yes,0.48255689261506457,Yes,893341.3598964367,1804042.42388846,57.35592792599427
Bolívar,Bogotá,Urban,Apartment,Rented,148.33677134744156,2,2,3,0,High,1,5,1,1,1,Female,65,Primary,Informal,3.606253129046804,90.06243939197634,Yes,Yes,Yes,Yes,0.11717882410383794,No,1213857.4553913332,4296041.960734227,171.16790322235727
Cundinamarca,Cali,Urban,Farm,Rented,51.106445014730824,4,2,2,0,Medium,1,5,2,1,1,Female,33,Primary,Formal,7.142755162874497,87.93357092313795,Yes,Yes,Yes,Yes,0.2115024570328231,Yes,422670.55115402373,8096084.694536102,130.50764553211536
Atlántico,Barranquilla,Urban,Apartment,Family,40.262646989266145,1,3,2,6,Low,0,1,1,0,1,Male,22,University,Informal,4.673868811330722,53.46596972333588,Yes,Yes,Yes,Yes,0.37513204563483843,Yes,299764.5461340618,1489733.0224568825,126.55398457173033
Bolívar,Bucaramanga,Urban,Apartment,Family,161.4786768347061,5,2,2,3,Low,0,1,4,0,1,Male,67,University,Formal,8.16992357301444,94.21660388485219,Yes,Yes,Yes,Yes,0.4226635402437618,Yes,2106778.442313368,2430430.822083834,139.35048065829886
